1,hwqxpeeahzrmwuhzjmlcwkxrzkpfpjrcig,student,ae,married,pg
2,mhjefcxqybd,student,ce,married,pg
3,eoywmcdxsjpantpjpdjexd,student,ce,girls2,pg
4,zdipjaerocuemxzxdtevmtllbtttuhykvyqkpej,student,ee,married,ug
5,qzbaocqxqpemclwgln,student,ime,girls1,pg
6,axrfrzhckpr,student,mse,married,ug
7,gxkkdmvpazvg,student,mse,girls4,pg
8,jsffgq,student,mse,girls3,pg
9,mbudkzwe,student,ae,girls2,pg
10,clnbawqjmpaynjfqrnkxhybjvfvuormhckbb,student,bsbe,girls1,ug
11,ruegh,student,ae,girls2,pg
12,znmxjpajalpwmkdiprgmivjtkbxmke,student,bsbe,married,pg
13,kaaxsxdphbjynsubj,student,mse,married,ug
14,qtnxraxbuafhkxhizlgiyr,student,cse,married,ug
15,uexgcxpaxgsyskgxtlrxecllitjw,student,ae,girls3,ug
16,howpeulfwgo,student,me,girls1,pg
17,iulueaefyuzifhbfuznbucddp,student,ae,boys1,ug
18,qqwhbiyrbbsugmtwjpdcpo,student,cse,married,ug
19,udpgqu,student,eco,married,pg
20,xlwgesayihoghxmllp,student,eco,girls3,ug
21,rcmrhkxsjlooblebyjtvpsyhcoqeaxd,student,ee,married,ug
22,pbtavdagmqgm,student,me,girls1,ug
23,uhogpgsdbme,student,cse,girls2,ug
24,xzlxltgbhfqooou,student,ee,girls3,pg
25,uaoopmxokwcwrclvaphzllmzhwexyeghu,student,mse,girls4,ug
26,yrakwvukhel,student,ae,boys2,ug
27,rnazemzgianot,student,cse,boys3,pg
28,bsijlxebabnzprdssgcixgehqprmykji,student,ce,married,pg
29,bueuxyzhlipdgivuecategakzh,student,cse,girls1,pg
30,vocpoekwbzv,student,ce,boys4,ug
31,fvtqdbxatqbliovisczzzsdzbgueqvweh,student,cse,girls1,ug
32,gjdczkltmvkyrttdtramv,student,eco,married,ug
33,yftarlvxliw,student,bsbe,boys5,pg
34,tzncxnorwqoffooxeyxwtxxmtjzjrjjdde,student,ae,boys2,pg
35,nfkjqvwoffqyxmhnxrmxtazcwphjfoiibincrlnm,student,ime,boys4,ug
36,cbkcorzptmalpunudjqhit,student,mse,boys3,ug
37,lxnpejuqudxrzsmqxmeitqqq,student,ee,married,ug
38,bioqybdfkblkkczebrqiwlkgkhjamjvcfjqj,student,bsbe,girls4,pg
39,clil,student,ee,girls1,pg
40,peajnjkntpjaltxgnwt,student,bsbe,married,ug
41,sdbicegdjicxfzjmzsalrrl,student,ce,boys1,ug
42,cpwtywbyztxvjosmugorypzrwvdwieiiohg,student,ce,married,ug
43,rnldkqgyzxdtcvhipuv,student,bsbe,boys2,ug
44,ihisyhzuxrhyrwipofls,student,mth,married,ug
45,zwhiqlfodacpeqxjmxerakcgvfkovg,student,eco,married,ug
46,bqdopjytatucdlfmnylpjqyf,student,cse,married,ug
47,xhbuieuraazvyyiwupreffopsnsxvswzggbkkb,student,eco,married,ug
48,iubmuxfrhi,student,ae,girls3,ug
49,yssnztyzxxxbfywiohg,student,bsbe,boys5,ug
50,paxpvcslqaarufy,student,ce,married,ug
51,dii,faculty,eco,,
52,dvqmhxfeicxm,faculty,cse,,
53,dszgauepjnvtrsxiztfawoosfpdsccwwalysgl,faculty,ae,,
54,hlyoefjtrbvxutsrlofdibrdncuxj,faculty,bsbe,,
55,stfnsqrtvvhooedqhxyxfkqu,faculty,ee,,
56,yfvfummvwayggdlbpjwjrj,faculty,mse,,
57,wnfbllhugzhgvdolbj,faculty,mth,,
58,lvkuatojxuonzvlvmarzfescxofgmjamoclnptfi,faculty,ee,,
59,oocsglbkyvsfvhhzvustpchispvtdpxdakdys,faculty,mth,,
60,lmq,faculty,media,,
61,vankzlxatmbvcqdvfzuciy,faculty,ime,,
62,fkurzwtpgockcazywrcf,faculty,ce,,
63,tjukuncaijrnytqpw,faculty,ee,,
64,ejennnajkhl,faculty,cse,,
65,pnuteqsmu,faculty,cse,,
66,uceztzosdjjkjtwq,faculty,iwd,,
67,gamjxvfvptfneaxddtokmdkwuguksqmghagrxd,faculty,ce,,
68,dzgfiafcragktodhslxcbyms,faculty,bsbe,,
69,gtwmqrgrgymkioqzajqqyunv,faculty,ce,,
70,pkghyz,faculty,ae,,
71,xmaidjczflytlilbokk,faculty,ee,,
72,rrcoffdcrljaorlcrjkywubxexrimjokfecqtmq,faculty,bsbe,,
73,pvshtzoxrbewglpwundnwmdeyhvmlchiftaq,faculty,ce,,
74,khapcrkuwmqlnyuuwsa,faculty,eco,,
75,ueps,faculty,me,,
76,xkywnaucrgrckanwdvy,faculty,cc,,
77,v,faculty,ime,,
78,cxxadlnlpipyi,faculty,ce,,
79,twbmcmdavbfuxkawtdveifyedhltn,faculty,cse,,
80,xkbjhtujklofcjilsscxohkugknfivwylon,faculty,mth,,
81,qafjvjqzlyqdkwzgu,faculty,ee,,
82,dmrsjwesmthdaf,faculty,ae,,
83,fsqzprtlqrfxyaqetzjjrpig,faculty,mse,,
84,qkkqxzblkchffrmnhzavpqeknuzybojbwpzjjle,faculty,ime,,
85,hxmdmsvwshqzodrmzgtuyzgfrbazgfnlz,faculty,ae,,
86,wuttadmewkoeukdhajgzxkhhm,faculty,iwd,,
